"","UniqueID","submission_year","target","TrainVal","Long_1","Long_2","Long_3","Long_4","Long_5","Long_6","Long_7","Long_8","Long_9","Long_10","Short_1","Short_2","Short_3","Short_4","Short_5","Short_6","Short_7","Short_8","Short_9","Short_10"
"1","984TAH",2015,0,"Train_60",1800,6,0,221,0,15,6,1575,7,15,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"2","410VKN",2015,0,"Val_40",5700,8,0,221,12,15,17,21721,7,-357,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"3","394ETK",2015,1,"Train_60",700,1,0,147,17,10,12,9587,4,3279,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"4","036KQK",2015,0,"Train_60",1700,2,0,461,187,6,4,210,2,-2139,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5","996RNP",2015,0,"Train_60",600,3,0,96,30,11,5,43650,4,316,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"6","813JON",2015,0,"Val_40",8500,1,0,88,5,8,52,5065,5,1833,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"7","276BDY",2015,0,"Val_40",1900,0,0,533,163,1,41,8362,1,842,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"8","283LEL",2015,0,"Train_60",200,3,0,218,190,6,17,34298,1,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"9","695XKD",2015,0,"Train_60",5000,7,8963,68,39,26,34,6312,4,229,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"10","594NKP",2015,0,"Train_60",1200,5,0,205,0,9,15,13772,1,-10000,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"11","807RSJ",2015,0,"Val_40",2300,0,0,113,0,4,23,2291,1,1897,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"12","761MBG",2015,0,"Val_40",3000,2,0,143,40,1,16,32233,1,457,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"13","385ZPA",2015,0,"Train_60",3800,1,0,241,78,7,58,4652,4,-2780,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"14","697TGI",2015,0,"Val_40",1300,4,0,377,146,6.5,6,23022,4,-418,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"15","231UKX",2015,0,"Val_40",2000,0,0,400,90,5,19,2221,4,115,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"16","946RYA",2015,0,"Val_40",2100,8,0,254,146,8,18,12092,3,-5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
